X,Y,Z
2.3691578,-5.221798,0.57846224
-2.1364324,4.252125,5.216362
1.778985,0.12712012,3.390569
-4.766648,0.5642643,2.246662
0.6389529,0.86802214,3.277995
3.2323985,-1.3955,3.412206
1.2951102,-4.4951515,-1.2931882
-2.542019,3.433187,6.8026752
3.2804449,-1.3405206,1.1688058
-3.2906327,-1.4700172,0.9052784
-3.4663157,-1.229474,2.0412745
-1.3470634,4.913506,10.170411
2.1744516,-0.27247077,3.232568
3.1562202,-4.7549233,0.33456376
3.4679916,-1.5917776,1.3396465
1.0615232,-4.238522,-0.15243563
-0.6560968,-4.624273,-0.9989114
3.8475668,-3.6144652,1.3478411
-2.8878243,5.2542677,8.508421
-2.3657856,5.976118,10.618393
-3.1481094,3.4728427,4.05549
1.0977597,-3.831179,-1.1862943
2.7890406,-0.9941794,0.7335713
4.17674,-0.45389092,0.4808144
1.5556326,-3.9842794,1.2865026
-1.4465748,6.5683317,9.086176
-3.9912577,-1.6701704,1.0370284
-2.827599,4.9681683,7.8896284
-2.986824,2.9536977,4.7615366
2.7824454,-4.8597436,0.41077918
-2.1368055,-2.015636,8.966655
-3.7827396,0.23160788,1.5749441
-2.8774457,4.9360657,8.849526
-1.0198151,6.291031,9.315313
4.3510046,-5.003076,0.48309425
-3.280713,3.0054069,6.523538
-3.1372938,1.1164739,2.1467977
0.66983354,1.448974,8.45448
3.00947,-3.7016582,-0.20862588
-2.2707114,-3.253301,-0.1216965
4.086548,-0.9090218,1.6415681
-3.1517735,3.7638137,7.758694
-4.204107,1.6330521,3.1676884
-4.462681,-0.5333017,1.0805359
-2.287703,4.958732,7.3681455
2.5630012,-1.3377054,1.1826702
4.908558,-3.4561265,0.40204132
-0.4801815,2.9888217,4.233886
-4.1536975,2.8431673,3.127313
-1.4648091,-3.577159,0.16762555
4.4535685,-1.7987454,0.1824466
-0.40840223,4.5604634,9.773274
-1.2676847,3.2622788,9.912093
4.6400847,-4.727037,-0.6653107
-2.1513946,6.301691,10.063798
0.62759507,-4.665301,1.078332
3.4492478,-1.2812043,2.879001
5.9544263,-3.4710047,1.2044673
-2.973539,3.5620115,4.9617596
-1.045004,3.633127,7.622567
6.307534,-2.9152892,-0.0063843727
-0.1578964,3.7595901,8.32138
-0.35466635,5.60278,8.363143
6.348376,-4.4954824,-0.4807866
-3.492623,4.1121664,6.5537868
-3.0292,-0.7394804,1.9816846
-3.1337554,4.53813,7.6649537
-2.0094357,6.970993,9.165126
3.3800068,-0.17843094,3.1402142
-3.9680548,4.2780175,7.0218916
-2.1151419,-4.926005,0.67558926
-0.8295361,2.6689293,8.192227
-4.300883,2.4497175,2.5786493
-0.024400555,4.063667,8.730806
3.2259514,-3.6944067,1.0555744
4.0120645,-2.1639283,0.86680615
-2.653417,5.418939,10.485477
-3.9145885,2.1662588,4.520397
-3.473013,-1.8604739,-0.22725111
-0.9999946,2.6446261,9.046337
1.429482,0.52160007,2.0222332
2.6198225,-0.048900582,5.309098
1.6348323,-4.3946266,0.70120704
-2.7332096,2.279117,4.471517
-3.3943415,3.6052606,3.5326822
4.002133,-2.5799737,1.7962112
3.4255373,-1.1755394,0.56780094
-1.6557052,-5.033212,0.24449606
-1.0397389,4.692374,8.709945
0.39358255,3.3054478,8.069132
-2.6014903,4.6750984,6.536044
0.60837364,-4.884346,0.36623907
-2.1186516,5.3243184,10.585229
-3.0445523,6.6237435,8.5039625
-0.10356246,-4.6450343,1.2655612
3.5859437,-1.0227692,3.761652
-2.9699025,4.107639,6.846239
1.2954775,1.1865902,9.703781
2.9617038,-0.9649441,3.7559626
-3.652536,4.5585904,5.977846
5.5941,-3.4669175,0.35516325
-1.5090361,-4.579354,0.5308683
-3.632313,0.93302727,2.517896
-2.9914608,3.0495324,3.6388078
0.24984005,3.8299787,9.320294
-1.9813664,5.230702,9.230062
-2.8285346,-1.6653105,7.48741
-3.0470057,4.327602,8.789517
6.1885405,-2.9122558,-0.67126846
5.9752946,-2.503084,-0.2404983
-3.79277,4.1402817,7.814826
-0.2483632,4.966909,8.672005
1.5311701,-3.7058864,0.67297125
-1.6028988,2.9807556,4.327385
3.8945231,-1.936998,1.8481863
1.6067709,1.1020416,2.7049417
-3.4629304,-0.41853547,0.26729214
-1.1780249,2.4078343,8.5900755
